class,u_mag,g_mag,r_mag,i_mag,z_mag,max_mag
1,18.352959,16.790821,16.15914,15.892138,15.750802,18.352959
3,18.221,17.436,17.656,17.872,18.118,18.221
1,18.8792,17.440918,16.783993,16.498568,16.322937,18.8792
1,18.894476,17.674576,17.208895,17.033516,16.97294,18.894476
3,18.213,18.196,18.524,18.88,19.116,19.116
3,19.282,18.844,19.069,19.296,19.502,19.502
3,19.285,18.891,18.81,18.886,18.958,19.285
3,19.096,18.521,18.317,18.275,18.301,19.096
1,18.874607,17.638632,17.120625,16.907972,16.849592,18.874607
1,18.290901,17.022612,16.625498,16.431305,16.399673,18.290901
1,19.784182,17.820679,17.003235,16.721306,16.541569,19.784182
1,19.13571,17.17157,16.468216,16.240795,16.100643,19.13571
3,19.146,18.728,18.686,18.667,18.812,19.146
3,19.665,19.111,19.93,18.855,19.171,19.93
3,19.186,18.835,18.884,19.052,19.407,19.407
1,18.790855,17.476933,17.01411,16.79092,16.637476,18.790855
1,20.533161,17.96803,16.827314,16.373095,16.091063,20.533161
3,19.257,18.997,18.954,19.031,19.108,19.257
3,20.469,20.203,19.652,18.812,18.284,20.469
1,18.710846,17.86912,17.537119,17.422232,17.361671,18.710846
1,16.284952,15.009629,15.164118,15.292119,15.424339,16.284952
